,artist.name,bars_start,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,loudness,mode,song.hotttnesss,start_of_fade_out,tatums_start,tempo,terms,time_signature,title,year
26,John Wesley,0.56075,0.56075,484.62322,28.172,0.560557984,4,0.283,-15.335,0,0.377531645,480.363,0.56075,138.007,disco,4,The Emperor Falls,0
27,Billie Jo Spears,0.24118,0.24118,133.32853,0,0.523714637,4,0.384,-9.983,1,0,130.009,0.04851,160.839,country,1,It Makes No Difference Now,1992
28,Mike Jones (Featuring CJ_ Mello & Lil Bran),0.40866,0.40866,173.66159,0,0.79360508,7,0.299,-7.762,1,,164.908,0.05133,41.993,rap,1,Laws Patrolling (Album Version),0
29,Butthole Surfers,0.2438,0.2438,450.84689,0.467,0.809323793,4,0.726,-9.063,0,0.593943076,426.104,0.09307,130.586,rock,4,Barking Dogs (From Piouhgd),0
30,Despina Vandi,0.10104,0.10104,303.09832,0.067,0.632559542,8,0.532,-8.879,0,,294.818,0.10104,128.292,pop,4,OUTE ENA EFHARISTO,0
31,Javier Navarrete,0.77461,0.77461,128.83546,0,0.597541218,3,0,-17.699,1,0.394394856,121.423,0.77461,90.932,orchestra,3,Midnight Swim,0
32,Jacob Young,0.92047,0.23284,456.30649,0.241,0.495445922,1,0.611,-19.478,1,0,451.315,0.06094,89.667,jazz,4,In A Subtle Way,0
33,Scarlets Remains,0.73465,0.28881,198.73914,0,0.527865076,7,0.673,-7.469,1,0.450992312,193.016,0.14044,115.061,metal,4,Spin,2007
34,The Suicide Machines,0.90181,0.38075,95.68608,0,0.668674533,2,0.421,-2.022,1,0.528782481,87.806,0.12215,115.887,punk,4,Burning In The Aftermath,2003
35,The Rolling Stones,0.15016,0.15016,271.49016,0.171,0.814829656,9,0.301,-10.358,0,0.83449262,263.784,0.15016,139.333,blues,1,Angie (1993 Digital Remaster),0
36,Roberto Torres,0.86592,0.34973,226.66404,0.311,0.482356043,0,0.863,-12.716,1,0,219.51,0.34973,117.271,salsa,4,Sabor Guajiro,0
37,Loudon Wainwright III,1.56662,0.37554,190.48444,0.258,0.661080168,3,0.544,-15.663,1,0.510119314,177.029,0.37554,102.428,rock,4,Human Cannonball,1995
38,R.L. Burnside,0.93659,0.275,277.78567,0.24,0.701180874,2,0,-6.944,1,0.482137585,267.453,0.275,89.984,blues,4,Glory Be,2004
39,Stevie Ray Vaughan,0.74277,0.2077,248.78975,0.183,0.73379894,1,0.754,-7.805,1,,246.19,0.2077,116.721,blues,4,Crossfire,1992
40,John Hammond,0.32071,0.32071,195.3171,0,0.590692918,7,0.98,-10.7,1,,187.617,0.32071,123.142,blues,4,I Cant Be Satisfied,2002
41,Casiotone For The Painfully Alone,0.74575,0.32409,175.72526,0.734,0.665322162,0,0.522,-10.93,1,0.785892288,168.699,0.11431,141.919,hip-hop,4,Nashville Parthenon,2006
42,Ec8or,0.47086,0.47086,217.23383,1.042,0.50407567,10,0.005,-9.493,0,,213.496,0.15342,95.596,metal,4,Cocain Ducks,1995
43,The New York Dolls,0.12284,0.12284,344.05832,0.068,0.717670525,11,0.425,-9.253,1,0.561692411,335.029,0.12284,154.953,rock,1,Human Being,1974
44,Eliane Elias,2.90946,0.14772,251.42812,0.071,0.669726188,7,0.391,-12.009,1,0.43483809,237.598,0.14772,86.091,jazz,5,The More I See You,2009
45,Lost Boyz,0.34237,0.34237,269.7922,0.218,0.569741152,7,0.715,-11.043,1,0.405115722,257.416,0.34237,90.218,rap,4,Certain Things We Do,1997
46,The Germs,0.05314,0.05314,206.05342,0,0.640048357,11,0.641,-11.506,0,,206.053,0.05314,133.144,rock,1,Forming,1977
47,Yamandu Costa,0.31943,0.02559,190.04036,0,0.397772876,2,0.105,-14.179,1,,176.924,0.02559,205.317,jazz,4,MafuA!,0
48,Chris Rea,0.42366,0.0889,241.162,0.549,0.643182773,9,0.222,-8.531,1,0.767727748,230.342,0.0889,180.149,rock,4,Driving Home For Christmas,1986
49,Perrey And Kingsley,0.49054,0.49054,122.64444,0.99,0.411421048,0,0.61,-8.541,0,0.43483809,109.627,0.05812,102.538,easy listening,4,Spooks In Space,1966
50,Eurythmics,8.99358,2.31778,207.0722,2.583,0.75100762,0,0.442,-6.629,1,0.38293509,202.757,2.31778,84.164,rock,4,Tous Les GarASSons Et Les Filles,1985
51,John Cale,0.02909,0.02909,228.46649,0,0.749317801,7,0.458,-12.412,1,0.226555314,228.466,0.02909,137.004,rock,1,Movement 4 [from Kiss] (Album Version),1997
52,Suzanne Ciani,0.96617,0.3834,239.59465,0.311,0.631946666,7,0.527,-21.552,1,0.415983118,236.507,0.08155,106.33,meditation,4,Stream,0
53,Vickie Winans,1.06091,0.50472,228.93669,0.338,0.653937821,11,0.172,-8.686,0,,219.574,0.22871,107.961,ccm,4,Make Me Over,0
54,The Berzerker,0.38387,0.38387,165.61587,2.171,0.668370612,1,0.108,-6.222,1,0,165.616,0.21142,174.287,metal,3,Deform (live),2000
55,Kings Of Leon,1.18583,0.15226,187.92444,0.328,0.845768866,0,0.612,-5.907,1,0.685940227,180.344,0.15226,116.823,rock,4,Wicker Chair,2003
56,Taras,0.89225,0.41788,200.25424,0,0.460171324,11,0.056,-5.884,0,,194.844,0.1801,127.97,trance,4,I Will Love Again (JJs Club Radio),0
57,NOFX,0.76754,0.29609,144.50893,0.237,0.778816717,4,0.093,-7.787,0,0.671236027,140.057,0.0586,152.622,punk,4,Stickin In My Eye,1992
58,Murskahumppa,0.1737,0.1737,285.17832,0,0.435889847,7,0.379,-8.488,1,,275.853,0.1737,110.787,rock,3,Ota kiinni,0
59,Soda Stereo,1.74155,0.67947,246.69995,0.322,0.711165787,7,0.161,-9.603,1,0.62616576,224.049,0.42263,112.903,rock,4,Entre CanAbales,1990
60,Bruce Rowland,0.36508,0.36508,84.03546,0.328,0.443162398,7,0.469,-26.266,1,0,75.79,0.11188,115.642,easy listening,4,Rosemary Recalls,1985
61,White Heart,0.36873,0.36873,298.84036,19.093,0.477364753,5,0.596,-9.998,1,0.265861049,289.46,0.16818,113.277,ccm,4,Where The Thunder Roars (Tales Of Wonder Album Version),0
62,Heavy D / McGruff,0.98426,0.36334,161.38404,0.165,0.617870116,5,0.665,-9.161,0,0.237733942,161.384,0.05327,96.979,rap,4,Wanna Be A Player,1997
63,Van Halen,0.34761,0.34761,209.29261,0,0.744641246,8,0.455,-4.865,1,0.82448213,206.623,0.14268,140.995,metal,1,Panama (Remastered Album Version),0
64,Black Eyed Peas,1.1904,0.63902,229.61587,0,0.845601887,11,0.205,-4.882,0,0.624425493,213.664,0.36332,105.206,hip-hop,4,Lets Get It Started,2004
65,Nine Inch Nails,1.76242,0.80838,426.89261,0.286,0.905776889,0,0.05,-12.951,0,0.635536649,399.9,0.33137,63.017,metal,4,Metal,2000
66,Nick Cave & The Bad Seeds,0.85641,0.44094,269.26975,3.889,0.694021648,9,0.052,-11.751,0,,262.798,0.23321,144.603,rock,4,She Fell Away (2009 Digital Remaster),0
67,Lesley Gore,0.06727,0.06727,136.48934,0.229,0.606925359,9,0.386,-9.091,1,,130.026,0.06727,129.122,pop,1,Its My Party,1963
68,Smartbomb,0.64544,0.19348,233.27302,0.386,0.562463784,0,0.53,-2.658,1,0,231.178,0.19348,132.022,metal,4,Complicate It,2001
69,Suburbs,0.302,0.302,187.24526,0.107,0.481004583,1,0.842,-4.42,1,0.249065795,178.625,0.13943,183.92,pop,1,Monde De Fou,2005
70,Emperor,0.73058,0.73058,72.61995,0,0.742963152,9,0,-11.051,0,,68.365,0.56271,89.867,metal,4,Opus a Satana (Part 2),0
71,Julien Clerc,1.21926,0.19064,272.63955,2.775,0.58547954,2,0.633,-9.97,1,,272.64,0.19064,119.896,chanson,5,This Melody (Live),0
72,Glen Campbell,0.09896,0.09896,142.75873,0.218,0.67159627,1,0.62,-11.335,0,,135.546,0.09896,137.29,country,4,Im Gone This Time,0
73,T.G. Sheppard,0.52519,0.52519,194.11546,0.089,0.449323615,5,1,-15.581,1,0.382723281,182.729,0.15887,82.343,country,1,You Feel Good All Over,2002
74,Slim Whitman,1.87142,0.61665,195.91791,0.165,0.51644378,3,0.883,-11.98,1,,192.087,0.20411,91.487,folk,4,Indian Love Call,1990
75,Savage Garden,3.56292,0.22888,118.33424,0,0.728209707,9,0,-11.215,0,,118.334,0.22888,84.69,easy listening,5,You Can Still Be Free,1999
76,Queens Of The Stone Age,0.68393,0.15338,288.41751,0.113,0.798645179,2,0.08,-8.165,1,0.725121284,279.179,0.15338,115.606,metal,4,I Never Came,2005
77,Hank Penny & The Lincoln Penny Orchestra,0.14694,0.14694,123.21914,1.001,0.445854631,7,0.278,-12.69,0,,118.079,0.14694,126.523,swing,1,Dixie,0
78,Inspiral Carpets,0.72006,0.18905,283.76771,0,0.605109702,2,0.823,-8.7,1,0.665172241,271.83,0.18905,113.677,indie,4,Commercial Reign,1990
79,Borialis,1.76995,0.38749,239.3073,0.182,0.454043995,2,0.569,-5.758,1,0.554654768,220.264,0.04274,86.938,rap,4,Hourglass,0
80,The Dirty Skirts,0.55647,0.13404,206.75873,0.096,0.543516131,0,0.613,-4.907,1,0.304169503,193.115,0.13404,141.936,indie,4,Wake,0
81,BA(c)zu,1.1332,0.66297,285.64853,0.397,0.373850623,8,0.508,-9.093,1,,274.727,0.42645,126.88,chanson,4,Le tortillard,0
82,Redman,2.95336,0.65164,124.18567,0,0.743129776,1,0.074,-10.296,0,0.57010593,121.005,0.16161,85.008,hip-hop,5,WKYA (drop),2001
83,Solistiyhtye Suomi,0.14324,0.14324,134.08608,4.441,0.13818761,4,0.718,-12.839,0,,130.38,0.14324,133.699,pop,1,TerA$?slintu,0
84,Eddie Cantor,0.23005,0.23005,155.61098,0.154,0.416141023,11,0.599,-13.71,1,,150.75,0.23005,118.975,easy listening,1,Nows The Time To Fall In Love,0
85,Schizoid,0.94655,0.35387,275.40853,0,0.495559652,9,0.376,-2.119,1,,272.556,0.35387,102.408,metal,4,Grim Prospects (Gross Prospects - Bad Trip Remix),0
86,Sonny Simmons,10.84083,1.34066,443.24526,0.23,0.428375417,1,0,-13.002,1,0.270775999,430.736,0.33736,45.527,jazz,4,A Distant Voice,0
87,Citizen Kaned,1.59705,0.49298,385.33179,3.048,0.483339422,8,0.822,-8.37,0,,382.647,0.07835,108.061,chill-out,4,President Johnson,2000
88,The Brooklyn Tabernacle Choir,0.95031,0.38454,324.44036,0,0.559278494,7,0.558,-11.829,1,0.405115722,312.239,0.38454,216.195,gospel,5,Lead Me Lord,1995
89,Ellen McIlwaine,0.8598,0.41287,275.12118,0.34,0.438887475,7,0.699,-6.29,1,0.242741879,272.933,0.41287,132.428,blues,4,Spontanous Combustion,0
90,Vince Guaraldi / Bola Sete,0.15435,0.15435,294.66077,0.864,0.57810363,5,0.238,-15.761,0,0.386790177,282.564,0.15435,168.307,jazz,4,Choro,0
91,Maurice Chevalier,0.56594,0.14386,193.20118,0.497,0.502453177,0,0.371,-27.433,1,,190.003,0.14386,140.956,chanson,7,Ma Louise,0
92,Carl Cox Vs Yousef,0.6235,0.16237,357.82485,0.131,0.541975108,1,0.485,-5.701,1,0.511254835,353.785,0.16237,130.016,house,5,I Want You (Forever),1991
93,Organized Konfusion,0.41054,0.0684,198.3473,0.201,0.683719468,11,0.306,-8.709,0,0.460484845,182.184,0.0684,175.769,hip-hop,4,Hate,1997
94,Martina McBride,0.2688,0.2688,261.95546,0,0.614870934,7,0.96,-13.627,1,0.488289876,253.452,0.2688,100.194,country,3,I Cant Stop Loving You,2005
95,Horace Andy,0.87289,0.4435,176.27383,0.183,0.626436382,2,0.171,-11.479,1,,166.911,0.23251,151.911,reggae,4,Thank You Lord,1985
96,Tyrone Davis,0.56138,0.19121,235.91138,0.322,0.543866303,10,0.46,-10.466,1,,219.725,0.19121,161.976,soul,4,Cheatin In The Next Room,0
97,Hot Tuna,0.18671,0.18671,239.59465,0.31,0.567278871,0,0.601,-9.275,1,,231.3,0.18671,172.398,blues,1,Candy Man,1971
98,Richard Burton,1.49595,0.42142,171.49342,0.085,0.432386477,2,0.45,-37.398,1,0,165.216,0.1441,109.823,jazz,3,I See The Boys Of Summer,0
99,Rory Block,0.63247,0.63247,266.05669,0.23,0.513829587,1,0.936,-13.836,1,0,256.064,0.26631,90.101,blues,1,Three Is a Crowd,0
100,Boyz II Men,1.00904,0.49144,329.27302,0.45,0.790922848,8,0.497,-7.103,1,0.345802234,322.101,0.23264,116.473,swing,4,On Bended Knee,1994
101,Howard Armstrong,0.97322,0.49835,198.922,0.228,0.454668191,9,0,-13.495,0,0.333554807,190.705,0.26092,126.821,blues,4,My Four Reasons,0
102,Donny Hathaway,1.46125,0.36893,283.21914,0.258,0.657406765,2,0.499,-15.144,1,0.617365618,277.467,0.0982,111.191,jazz,3,Little Girl (LP Version),1971
103,Les Ogres De Barback,0.49594,0.49594,254.06649,0.43,0.652367864,4,0.446,-6.01,0,0.394394856,249.562,0.24195,137.888,chanson,1,Niev nietch nievitch,1999
104,Morel,0.60781,0.05514,311.40526,0,0.49825931,10,0.685,-4.313,1,,300.118,0.05514,108.367,pop,4,Blue Taxi,0
105,Tony Joe White,0.44814,0.09927,162.53342,0.524,0.624723768,2,0.243,-17.285,1,0.374796837,151.551,0.09927,173.482,country,4,I Want Love (Tween You & Me) (Album Version),0
106,Wolfmother,1.31008,0.22523,212.37506,0.868,0.79225559,4,0.372,-5.931,0,,209.438,0.08957,110.745,metal,4,White Feather,2009
107,Bob Margolin,0.71979,0.17426,126.51057,0,0.555985053,11,0.228,-12.651,1,0.233796474,121.702,0.17426,110.168,blues,4,You Rascal You,0
108,Jupiter Rising,0.62823,0.62823,193.4624,2.717,0.662649695,0,0.373,-5.913,0,0.215080319,184.274,0.62823,119.979,rap,4,They Say (Album),2007
109,Dharma Bums,0.95881,0.95881,127.4771,2.148,0.491921881,6,0.81,-5.541,1,,118.195,0.76143,156.968,house,1,Simons Folly,0
110,Saafir,0.61434,0.29768,234.762,0.101,0.594779904,5,0.172,-6.019,1,,227.84,0.13935,188.886,hip-hop,4,Crawl Before You Ball (Album Version),1999
111,The Verve Pipe,0.65257,0.20769,292.8322,3.344,0.70334944,9,0.295,-4.953,1,0.466304831,273.589,0.20769,133.306,grunge,4,Medicate Myself,2001
112,Marvin Sapp,0.72495,0.36318,270.68036,0.334,0.733714697,1,0.33,-11.061,1,0.26568338,267.906,0.36318,166.275,gospel,4,More And More  (LP Version),0
113,James Hunter,0.80573,0.29176,188.73424,0,0.625443262,2,0.862,-7.04,1,,178.463,0.29176,114.971,soul,4,Cowboy Ways,0
114,Nelson Ned,0.63479,0.22404,211.80036,0.175,0.498663649,9,0.519,-15.358,0,,202.443,0.22404,144.651,jazz,4,Brasas Vivas,0
115,Mish Mash,0.07332,0.07332,254.32771,0,0.505644262,2,0.64,-11.213,1,,249.858,0.07332,152.005,house,1,Kolomeyke,0
116,Cama,0.27702,0.27702,210.36363,0.364,0.406187449,1,0.645,-5.904,0,,201.497,0.08387,155.074,los angeles,1,In This Life,2009
117,Maxi Priest,0.03212,0.03212,301.81832,2.566,0.661001337,10,0.683,-8.095,0,0.345802234,289.332,0.03212,61.971,rock,1,Groovin In The Midnight,1991
118,Porcupine Tree,0.34798,0.34798,416.80934,0,0.830252262,6,0.644,-7.982,0,0.82517354,396.533,0.0276,124.04,rock,5,Waiting,1997
119,Foo Fighters,0.58065,0.16757,117.002,0,0.839275393,7,0.458,-5.699,1,,114.712,0.16757,152.127,grunge,4,Hell,2005
120,Shakira Featuring Wyclef Jean,0.71063,0.10911,217.36444,0.224,0.833178561,10,0.805,-5.152,0,0.73738531,212.161,0.10911,100.023,pop,4,Hips Dont Lie (featuring Wyclef Jean),0
121,The Avengers,0.21429,0.21429,122.72281,4.418,0.574973901,10,0,-9.965,1,,117.034,0.05795,192.688,rock,4,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0
122,Robben Ford,0.78649,0.38868,203.98975,0.161,0.604820432,11,0.236,-11.976,0,0.47212112,182.921,0.19413,154.322,blues,4,I Got Over It (Album Version),1988
123,Soda Stereo,0.14825,0.14825,225.12281,0,0.711165787,11,0,-3.818,0,,203.593,0.14825,175.421,rock,1,Te Hacen Falta Vitaminas,1984
124,Xmilk,0.58192,0.10684,123.66322,0,0.4621406,9,0.138,-4.633,0,,119.705,0.10684,104.153,metal,4,Sense And Trick,0
125,Dolce; Oscar G.,0.64665,0.17678,525.16526,0.148,0.471577282,11,0.386,-5.602,0,,513.724,0.17678,127.278,folk,4,Fire (Oscar G Space Vocal Mix),0
126,Britt Nicole,0.64194,0.26421,204.06812,0.415,0.669500125,6,0.606,-5.157,1,0.236420182,193.562,0.07628,160.165,ccm,4,Hanging On (Medium Key Performance Track Without Background Vocals),0
127,Schizoid,1.58691,0.18064,166.00771,0,0.495559652,5,0.441,-1.925,1,,162.366,0.18064,86.091,metal,3,Grim Prospects (Version 2 Remix),0
128,Toni Braxton Featuring Shaggy,0.28332,0.28332,219.01016,0.235,0.737972528,0,0.782,-5.21,1,,203.233,0.0827,149.94,pop,4,Christmas In Jamaica,2001
129,Perrey And Kingsley,0.20197,0.20197,127.9473,0.165,0.530605798,0,0.655,-12.717,1,0.444401715,123.222,0.20197,135.78,easy listening,4,Gossippo Perpetuo,2001
130,Sven Tasnadi,1.15604,0.29463,570.90567,0.15,0.480047819,7,0.792,-12.28,1,,538.372,0.08551,122.967,house,4,2190 Dias Contigo,0
131,Enthroned,0.89888,0.48245,240.74404,0,0.593416049,2,0.735,-4.878,0,0.543052864,240.744,0.48245,135.535,metal,7,The Vitalized Shell,2010
132,Suzanne Ciani,0.1659,0.1659,192.20853,0.357,0.631946666,2,0.523,-23.988,1,0.608500079,183.229,0.1659,139.189,meditation,3,Mozart,1989
133,Johnny Osbourne,1.07333,0.35811,215.30077,0.588,0.618765786,3,0.445,-9.741,0,0,208.376,0.18068,163.445,reggae,4,Lend Me Your Chopper,2004
134,Dolly Parton,1.14709,0.07152,155.21914,0,0.707335681,7,0,-11.965,0,,147.673,0.07152,114.027,bluegrass,3,Letter To Heaven,1971
135,Rance Allen Group,0.23374,0.23374,207.12444,0.352,0.488008882,7,0.662,-12.779,1,,192.447,0.23374,111.316,jazz,1,Heaven is Where The Heart Is,0
136,Pearl Jam,2.24039,1.67818,428.56444,4.267,0.81444811,4,0.743,-8.403,0,0.659304669,414.697,1.67818,105.994,grunge,3,Inside Job,2006
137,Natalie Cole,1.61011,1.61011,185.7824,3.059,0.69044755,8,0.015,-13.251,1,,174.556,1.26705,88.489,jazz,1,Take A Look  (LP Version),0
138,Mastodon,0.80159,0.29973,654.28853,3.048,0.780461749,7,0.539,-5.884,0,0.626612803,638.462,0.29973,118.433,alternative,4,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009
139,Kiril Valeri,1.1645,0.5406,306.72934,0,0.605874049,11,0,-6.929,1,0.270775999,276.149,0.22825,96.007,flamenco,4,Bulgarian Dream,0
140,Word,0.33922,0.33922,229.51138,3.233,0.638880206,9,0.457,-4.198,1,,222.285,0.17961,187.807,blues,4,Amalgama,0
141,DJ Quik,0.23293,0.23293,205.58322,0,0.712098902,7,0.025,-6.998,0,,202.931,0.23293,181.115,rap,4,Born and Raised In Compton,1991
142,Hank Locklin,0.98812,0.17951,127.05914,0.322,0.635757022,2,0.826,-12.772,1,0.494489518,114.724,0.17951,148.357,honky tonk,4,Were Gonna Go Fishin,0
143,2-4 Grooves feat. Reki D.,1.15739,0.69791,203.83302,2.067,0.622829997,4,0.648,-7.661,0,,195.117,0.69791,126.941,house,4,Relax,2009
144,The Jordanaires,0.95034,0.55728,176.50893,0.497,0.382308283,5,0.526,-17.308,1,,165.535,0.55728,159.582,country,3,Sweet By And By,0
145,Descendents,0.82038,0.04246,140.66893,0.078,0.727230316,6,0.006,-28.347,0,0.519448582,135.285,0.04246,89.495,punk,4,Orgofart,1986
146,L.A. Guns,0.36695,0.36695,201.09016,0,0.665728336,5,0.608,-2.869,0,,201.09,0.05221,102.259,metal,3,Bitch Is Back,1988
147,Bare Jr.,0.7081,0.09479,254.79791,0,0.53938059,10,0.647,-7.309,1,0,236.141,0.09479,107.529,grunge,3,Naked Albino,1998
148,Shelley Fabares,1.79615,0.56961,143.0722,0.32,0.075124762,0,0.675,-15.351,1,0,133.724,0.26777,99.408,pop,4,Johnny Loves Me (LP Version),0
149,Norrie Paramor,0.93377,0.20126,163.49995,2.171,0.312415123,9,0.753,-25.694,1,0,156.212,0.20126,79.731,easy listening,4,Dearly Beloved,0
150,Gary Hobbs,0.27257,0.27257,289.64526,0,0.524700041,0,0.403,-9.435,1,0,286.18,0.27257,188.502,tejano,1,The Look Of Love,0
151,Diesel Boy,0.30566,0.30566,124.15955,0.38,0.567814264,11,0.724,-4.793,1,0.405652196,122.015,0.10118,133.729,pop,1,Cooler Than You,1998
152,Angelo Badalamenti,0.64009,0.19422,167.3922,0.131,0.698770478,4,0.694,-17.623,0,0.445454526,163.149,0.19422,139.136,chill-out,4,Taryns Deepest Fear,0
153,Cradle Of Filth,0.93541,0.32747,321.35791,0,0.784820389,2,0.341,-6.2,0,,312.761,0.17724,193.693,metal,4,Summer Dying Fast,1994
154,Jim Chappell,0.67486,0.67486,263.94077,0.429,0.520204911,0,0.693,-19.821,1,,248.123,0.2855,76.693,jazz,4,Still,0
155,Ladybug,0.84998,0.37847,341.36771,0,0.479695608,10,0.432,-9.632,1,,324.679,0.1433,126.95,dance,4,Snapshot,0
156,Bandido,0.12319,0.12319,333.13914,0,0.463087254,6,0.598,-5.671,1,,317.719,0.12319,144.812,house,1,End Of The Road (Head Hornys Remix),0
157,Brixx,0.74492,0.30222,349.12608,0,0.515611096,11,0.7,-11.708,0,,338.506,0.08142,138.003,rap,4,7 Miles,0
158,Nine Inch Nails,0.70514,0.11379,168.56771,0,0.905776889,7,0.576,-16.968,0,,159.637,0.11379,130.284,metal,4,The Frail,1999
159,Leland Martin,0.44875,0.07709,175.62077,0.148,0.385143351,4,0.852,-10.647,1,,167.358,0.07709,159.968,honky tonk,4,Stone Cold Fingers (Bonus Track),0
160,React,0.37179,0.37179,120.2673,0.502,0.485107918,10,0.634,-3.422,0,,116.013,0.17,143.231,metal,1,Drunk Alone,0
161,Sven Tasnadi,0.95309,0.46982,557.26975,0,0.480047819,11,0.259,-12.26,1,,508.54,0.23362,123.993,house,4,Charisma,0
162,Mance Lipscomb,0.80806,0.80806,187.53261,0,0.450852685,11,0.681,-23.527,1,0.350979506,180.355,0.40014,97.981,blues,1,Going Down Slow,2000
163,Scott Wesley Brown,0.40638,0.40638,295.60118,2.125,0.497307512,2,0.783,-9.435,1,,290.65,0.40638,137.288,rock,4,All Rise,0
164,Moss,1.64757,0.3732,329.35138,0,0.602555589,2,0.144,-7.672,1,0.570850642,316.883,0.05381,111.079,jazz,4,Silent Hill,2009
165,Dimmu Borgir,1.34587,0.47161,282.53995,0.351,0.826075467,6,0.34,-4.2,0,,275.522,0.25359,140.458,metal,3,Master Of Disharmony,1996
166,Public Image Ltd,1.43656,0.98655,388.28363,2.49,0.684994897,0,0.551,-16.433,1,0.26396982,383.994,0.75243,132.506,rock,4,(This Is Not A) Love Song (Live),1983
167,Gary Moore,1.09248,0.70219,345.93914,0.416,0.761362238,2,0.04,-6.951,1,0.447135796,339.754,0.50562,153.862,blues,4,What Are We Here For,1997
