artist.name,bars_start,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,loudness,mode,song.hotttnesss,start_of_fade_out,tatums_start,tempo,terms,time_signature,title,year
Mike Jones (Featuring CJ_ Mello & Lil Bran),0.40866,0.40866,173.66159,0,0.79360508,7,0.299,-7.762,1,,164.908,0.05133,41.993,rap,1,Laws Patrolling (Album Version),0
Sierra Maestra,0.76895,0.09309,313.12934,0,0.501544777,9,0.724,-9.512,1,,307.688,0.09309,189.646,charanga,3,A?DA3nde va Chichi?,1997
Butthole Surfers,0.2438,0.2438,450.84689,0.467,0.809323793,4,0.726,-9.063,0,0.593943076,426.104,0.09307,130.586,noise rock,4,Barking Dogs (From Piouhgd),0
Despina Vandi,0.10104,0.10104,303.09832,0.067,0.632559542,8,0.532,-8.879,0,,294.818,0.10104,128.292,dance pop,4,OUTE ENA EFHARISTO,0
Javier Navarrete,0.77461,0.77461,128.83546,0,0.597541218,3,0,-17.699,1,0.394394856,121.423,0.77461,90.932,orchestra,3,Midnight Swim,0
Jacob Young,0.92047,0.23284,456.30649,0.241,0.495445922,1,0.611,-19.478,1,0,451.315,0.06094,89.667,cool jazz,4,In A Subtle Way,0
Scarlets Remains,0.73465,0.28881,198.73914,0,0.527865076,7,0.673,-7.469,1,0.450992312,193.016,0.14044,115.061,gothic metal,4,Spin,2007
The Suicide Machines,0.90181,0.38075,95.68608,0,0.668674533,2,0.421,-2.022,1,0.528782481,87.806,0.12215,115.887,ska punk,4,Burning In The Aftermath,2003
The Rolling Stones,0.15016,0.15016,271.49016,0.171,0.814829656,9,0.301,-10.358,0,0.83449262,263.784,0.15016,139.333,blues,1,Angie (1993 Digital Remaster),0
Roberto Torres,0.86592,0.34973,226.66404,0.311,0.482356043,0,0.863,-12.716,1,0,219.51,0.34973,117.271,salsa,4,Sabor Guajiro,0
Loudon Wainwright III,1.56662,0.37554,190.48444,0.258,0.661080168,3,0.544,-15.663,1,0.510119314,177.029,0.37554,102.428,modern rock,4,Human Cannonball,1995
R.L. Burnside,0.93659,0.275,277.78567,0.24,0.701180874,2,0,-6.944,1,0.482137585,267.453,0.275,89.984,delta blues,4,Glory Be,2004
Stevie Ray Vaughan,0.74277,0.2077,248.78975,0.183,0.73379894,1,0.754,-7.805,1,,246.19,0.2077,116.721,texas blues,4,Crossfire,1992
John Hammond,0.32071,0.32071,195.3171,0,0.590692918,7,0.98,-10.7,1,,187.617,0.32071,123.142,blues,4,I Cant Be Satisfied,2002
Casiotone For The Painfully Alone,0.74575,0.32409,175.72526,0.734,0.665322162,0,0.522,-10.93,1,0.785892288,168.699,0.11431,141.919,trip hop,4,Nashville Parthenon,2006
Ec8or,0.47086,0.47086,217.23383,1.042,0.50407567,10,0.005,-9.493,0,,213.496,0.15342,95.596,hardcore techno,4,Cocain Ducks,1995
The New York Dolls,0.12284,0.12284,344.05832,0.068,0.717670525,11,0.425,-9.253,1,0.561692411,335.029,0.12284,154.953,glam rock,1,Human Being,1974
Eliane Elias,2.90946,0.14772,251.42812,0.071,0.669726188,7,0.391,-12.009,1,0.43483809,237.598,0.14772,86.091,brazilian jazz,5,The More I See You,2009
Lost Boyz,0.34237,0.34237,269.7922,0.218,0.569741152,7,0.715,-11.043,1,0.405115722,257.416,0.34237,90.218,gangster rap,4,Certain Things We Do,1997
The Germs,0.05314,0.05314,206.05342,0,0.640048357,11,0.641,-11.506,0,,206.053,0.05314,133.144,rock,1,Forming,1977
Yamandu Costa,0.31943,0.02559,190.04036,0,0.397772876,2,0.105,-14.179,1,,176.924,0.02559,205.317,brazilian jazz,4,MafuA!,0
Chris Rea,0.42366,0.0889,241.162,0.549,0.643182773,9,0.222,-8.531,1,0.767727748,230.342,0.0889,180.149,soft rock,4,Driving Home For Christmas,1986
Perrey And Kingsley,0.49054,0.49054,122.64444,0.99,0.411421048,0,0.61,-8.541,0,0.43483809,109.627,0.05812,102.538,easy listening,4,Spooks In Space,1966
Eurythmics,8.99358,2.31778,207.0722,2.583,0.75100762,0,0.442,-6.629,1,0.38293509,202.757,2.31778,84.164,dance rock,4,Tous Les GarASSons Et Les Filles,1985
Francis Dunnery,1.1612,0.67535,300.79955,0,0.54858513,7,0.666,-13.33,1,0.610474258,298.347,0.42142,124.175,singer-songwriter,4,Too Much Saturn,1995
John Cale,0.02909,0.02909,228.46649,0,0.749317801,7,0.458,-12.412,1,0.226555314,228.466,0.02909,137.004,experimental rock,1,Movement 4 [from Kiss] (Album Version),1997
Suzanne Ciani,0.96617,0.3834,239.59465,0.311,0.631946666,7,0.527,-21.552,1,0.415983118,236.507,0.08155,106.33,meditation,4,Stream,0
Vickie Winans,1.06091,0.50472,228.93669,0.338,0.653937821,11,0.172,-8.686,0,,219.574,0.22871,107.961,ccm,4,Make Me Over,0
The Berzerker,0.38387,0.38387,165.61587,2.171,0.668370612,1,0.108,-6.222,1,0,165.616,0.21142,174.287,speedcore,3,Deform (live),2000
Kings Of Leon,1.18583,0.15226,187.92444,0.328,0.845768866,0,0.612,-5.907,1,0.685940227,180.344,0.15226,116.823,southern rock,4,Wicker Chair,2003
Edith Lefel,1.1958,0.01968,276.50567,0.299,0.407455644,0,0.29,-4.638,1,0,261.956,0.01968,101.972,zouk,4,An ti chans,0
Taras,0.89225,0.41788,200.25424,0,0.460171324,11,0.056,-5.884,0,,194.844,0.1801,127.97,trance,4,I Will Love Again (JJs Club Radio),0
NOFX,0.76754,0.29609,144.50893,0.237,0.778816717,4,0.093,-7.787,0,0.671236027,140.057,0.0586,152.622,punk,4,Stickin In My Eye,1992
Murskahumppa,0.1737,0.1737,285.17832,0,0.435889847,7,0.379,-8.488,1,,275.853,0.1737,110.787,suomi rock,3,Ota kiinni,0
Soda Stereo,1.74155,0.67947,246.69995,0.322,0.711165787,7,0.161,-9.603,1,0.62616576,224.049,0.42263,112.903,rock,4,Entre CanAbales,1990
Bruce Rowland,0.36508,0.36508,84.03546,0.328,0.443162398,7,0.469,-26.266,1,0,75.79,0.11188,115.642,easy listening,4,Rosemary Recalls,1985
Xcultures,1.21595,0.25377,273.52771,2.177,0.400433514,1,0.652,-6.305,1,0.199238262,268.893,0.25377,125.013,gabba,4,Sudanese Dance,2000
White Heart,0.36873,0.36873,298.84036,19.093,0.477364753,5,0.596,-9.998,1,0.265861049,289.46,0.16818,113.277,ccm,4,Where The Thunder Roars (Tales Of Wonder Album Version),0
Heavy D / McGruff,0.98426,0.36334,161.38404,0.165,0.617870116,5,0.665,-9.161,0,0.237733942,161.384,0.05327,96.979,pop rap,4,Wanna Be A Player,1997
Van Halen,0.34761,0.34761,209.29261,0,0.744641246,8,0.455,-4.865,1,0.82448213,206.623,0.14268,140.995,heavy metal,1,Panama (Remastered Album Version),0
Black Eyed Peas,1.1904,0.63902,229.61587,0,0.845601887,11,0.205,-4.882,0,0.624425493,213.664,0.36332,105.206,hip hop,4,Lets Get It Started,2004
Nine Inch Nails,1.76242,0.80838,426.89261,0.286,0.905776889,0,0.05,-12.951,0,0.635536649,399.9,0.33137,63.017,industrial metal,4,Metal,2000
Nick Cave & The Bad Seeds,0.85641,0.44094,269.26975,3.889,0.694021648,9,0.052,-11.751,0,,262.798,0.23321,144.603,rock,4,She Fell Away (2009 Digital Remaster),0
Nadine Renee,0.50432,0.14912,249.41669,0.647,0.408389022,2,0.883,-6.693,1,0.198785349,238.434,0.14912,167.92,freestyle,4,Next Time,0
Lesley Gore,0.06727,0.06727,136.48934,0.229,0.606925359,9,0.386,-9.091,1,,130.026,0.06727,129.122,brill building pop,1,Its My Party,1963
Smartbomb,0.64544,0.19348,233.27302,0.386,0.562463784,0,0.53,-2.658,1,0,231.178,0.19348,132.022,melodic hardcore,4,Complicate It,2001
Suburbs,0.302,0.302,187.24526,0.107,0.481004583,1,0.842,-4.42,1,0.249065795,178.625,0.13943,183.92,british pop,1,Monde De Fou,2005
Emperor,0.73058,0.73058,72.61995,0,0.742963152,9,0,-11.051,0,,68.365,0.56271,89.867,heavy metal,4,Opus a Satana (Part 2),0
Julien Clerc,1.21926,0.19064,272.63955,2.775,0.58547954,2,0.633,-9.97,1,,272.64,0.19064,119.896,chanson,5,This Melody (Live),0
Glen Campbell,0.09896,0.09896,142.75873,0.218,0.67159627,1,0.62,-11.335,0,,135.546,0.09896,137.29,country rock,4,Im Gone This Time,0
T.G. Sheppard,0.52519,0.52519,194.11546,0.089,0.449323615,5,1,-15.581,1,0.382723281,182.729,0.15887,82.343,country rock,1,You Feel Good All Over,2002
Slim Whitman,1.87142,0.61665,195.91791,0.165,0.51644378,3,0.883,-11.98,1,,192.087,0.20411,91.487,folk-pop,4,Indian Love Call,1990
Savage Garden,3.56292,0.22888,118.33424,0,0.728209707,9,0,-11.215,0,,118.334,0.22888,84.69,easy listening,5,You Can Still Be Free,1999
Queens Of The Stone Age,0.68393,0.15338,288.41751,0.113,0.798645179,2,0.08,-8.165,1,0.725121284,279.179,0.15338,115.606,stoner metal,4,I Never Came,2005
Hank Penny & The Lincoln Penny Orchestra,0.14694,0.14694,123.21914,1.001,0.445854631,7,0.278,-12.69,0,,118.079,0.14694,126.523,western swing,1,Dixie,0
Inspiral Carpets,0.72006,0.18905,283.76771,0,0.605109702,2,0.823,-8.7,1,0.665172241,271.83,0.18905,113.677,indie rock,4,Commercial Reign,1990
Borialis,1.76995,0.38749,239.3073,0.182,0.454043995,2,0.569,-5.758,1,0.554654768,220.264,0.04274,86.938,rap rock,4,Hourglass,0
The Dirty Skirts,0.55647,0.13404,206.75873,0.096,0.543516131,0,0.613,-4.907,1,0.304169503,193.115,0.13404,141.936,indie rock,4,Wake,0
Flor Silvestre,0.24456,0.24456,134.81751,0,0.42054585,11,0.847,-8.133,1,,130.723,0.24456,106.049,ranchera,1,Caricia Y Herida,0
BA(c)zu,1.1332,0.66297,285.64853,0.397,0.373850623,8,0.508,-9.093,1,,274.727,0.42645,126.88,chanson,4,Le tortillard,0
Redman,2.95336,0.65164,124.18567,0,0.743129776,1,0.074,-10.296,0,0.57010593,121.005,0.16161,85.008,hip hop,5,WKYA (drop),2001
Solistiyhtye Suomi,0.14324,0.14324,134.08608,4.441,0.13818761,4,0.718,-12.839,0,,130.38,0.14324,133.699,german pop,1,TerA$?slintu,0
Eddie Cantor,0.23005,0.23005,155.61098,0.154,0.416141023,11,0.599,-13.71,1,,150.75,0.23005,118.975,easy listening,1,Nows The Time To Fall In Love,0
Schizoid,0.94655,0.35387,275.40853,0,0.495559652,9,0.376,-2.119,1,,272.556,0.35387,102.408,breakcore,4,Grim Prospects (Gross Prospects - Bad Trip Remix),0
Kai Winding,1.38242,0.33359,223.4771,0.291,0.430538907,0,0,-14.438,1,0,220.026,0.33359,112.006,hard bop,4,Mangos,1961
Sonny Simmons,10.84083,1.34066,443.24526,0.23,0.428375417,1,0,-13.002,1,0.270775999,430.736,0.33736,45.527,free jazz,4,A Distant Voice,0
Mira,1.66153,0.96449,177.81506,0.554,0.545110951,4,0.695,-12.004,1,,167.48,0.61541,85.621,shoegaze,4,Openbare Weg,2006
Citizen Kaned,1.59705,0.49298,385.33179,3.048,0.483339422,8,0.822,-8.37,0,,382.647,0.07835,108.061,chill-out,4,President Johnson,2000
The Brooklyn Tabernacle Choir,0.95031,0.38454,324.44036,0,0.559278494,7,0.558,-11.829,1,0.405115722,312.239,0.38454,216.195,gospel,5,Lead Me Lord,1995
Ellen McIlwaine,0.8598,0.41287,275.12118,0.34,0.438887475,7,0.699,-6.29,1,0.242741879,272.933,0.41287,132.428,blues-rock,4,Spontanous Combustion,0
Vince Guaraldi / Bola Sete,0.15435,0.15435,294.66077,0.864,0.57810363,5,0.238,-15.761,0,0.386790177,282.564,0.15435,168.307,latin jazz,4,Choro,0
Maurice Chevalier,0.56594,0.14386,193.20118,0.497,0.502453177,0,0.371,-27.433,1,,190.003,0.14386,140.956,chanson,7,Ma Louise,0
Carl Cox Vs Yousef,0.6235,0.16237,357.82485,0.131,0.541975108,1,0.485,-5.701,1,0.511254835,353.785,0.16237,130.016,tech house,5,I Want You (Forever),1991
Organized Konfusion,0.41054,0.0684,198.3473,0.201,0.683719468,11,0.306,-8.709,0,0.460484845,182.184,0.0684,175.769,hip hop,4,Hate,1997
Martina McBride,0.2688,0.2688,261.95546,0,0.614870934,7,0.96,-13.627,1,0.488289876,253.452,0.2688,100.194,country,3,I Cant Stop Loving You,2005
Horace Andy,0.87289,0.4435,176.27383,0.183,0.626436382,2,0.171,-11.479,1,,166.911,0.23251,151.911,roots reggae,4,Thank You Lord,1985
Nazz,1.0873,0.58561,220.89098,0,0.494681417,9,0.606,-6.302,1,,213.107,0.34041,119.691,freakbeat,4,How Can You Call That Beautiful (Stewkey Vocal),0
Tyrone Davis,0.56138,0.19121,235.91138,0.322,0.543866303,10,0.46,-10.466,1,,219.725,0.19121,161.976,chicago soul,4,Cheatin In The Next Room,0
Hot Tuna,0.18671,0.18671,239.59465,0.31,0.567278871,0,0.601,-9.275,1,,231.3,0.18671,172.398,blues-rock,1,Candy Man,1971
Richard Burton,1.49595,0.42142,171.49342,0.085,0.432386477,2,0.45,-37.398,1,0,165.216,0.1441,109.823,jazz fusion,3,I See The Boys Of Summer,0
Rory Block,0.63247,0.63247,266.05669,0.23,0.513829587,1,0.936,-13.836,1,0,256.064,0.26631,90.101,delta blues,1,Three Is a Crowd,0
Boyz II Men,1.00904,0.49144,329.27302,0.45,0.790922848,8,0.497,-7.103,1,0.345802234,322.101,0.23264,116.473,new jack swing,4,On Bended Knee,1994
Howard Armstrong,0.97322,0.49835,198.922,0.228,0.454668191,9,0,-13.495,0,0.333554807,190.705,0.26092,126.821,piedmont blues,4,My Four Reasons,0
Donny Hathaway,1.46125,0.36893,283.21914,0.258,0.657406765,2,0.499,-15.144,1,0.617365618,277.467,0.0982,111.191,jazz funk,3,Little Girl (LP Version),1971
Miguel Gallardo,1.23225,0.75354,238.68036,0.386,0.45871209,5,0.458,-12.991,1,,230.742,0.50536,125.508,male vocalist,4,Eternamente Amame,0
Les Ogres De Barback,0.49594,0.49594,254.06649,0.43,0.652367864,4,0.446,-6.01,0,0.394394856,249.562,0.24195,137.888,chanson,1,Niev nietch nievitch,1999
DJ X-Change featuring DJ Joey A,1.01631,0.21294,184.31955,0.798,0.342440144,6,0,-5.58,0,,178.503,0.21294,150.012,ghetto tech,4,Come Over,0
Morel,0.60781,0.05514,311.40526,0,0.49825931,10,0.685,-4.313,1,,300.118,0.05514,108.367,dance pop,4,Blue Taxi,0
Tony Joe White,0.44814,0.09927,162.53342,0.524,0.624723768,2,0.243,-17.285,1,0.374796837,151.551,0.09927,173.482,country rock,4,I Want Love (Tween You & Me) (Album Version),0
Wolfmother,1.31008,0.22523,212.37506,0.868,0.79225559,4,0.372,-5.931,0,,209.438,0.08957,110.745,stoner metal,4,White Feather,2009
The Roches,1.06691,0.59466,338.33751,0,0.573605491,2,0.626,-14.248,0,0.265861049,328.986,0.59466,130.027,singer-songwriter,4,Christlike Roche,1995
Bob Margolin,0.71979,0.17426,126.51057,0,0.555985053,11,0.228,-12.651,1,0.233796474,121.702,0.17426,110.168,blues-rock,4,You Rascal You,0
Thomas Battenstein,1.11556,0.44532,205.58322,0.612,0.42562724,9,0.825,-16.056,0,,182.323,0.11215,97.976,guitar,3,Sympathy,0
Jupiter Rising,0.62823,0.62823,193.4624,2.717,0.662649695,0,0.373,-5.913,0,0.215080319,184.274,0.62823,119.979,pop rap,4,They Say (Album),2007
Dharma Bums,0.95881,0.95881,127.4771,2.148,0.491921881,6,0.81,-5.541,1,,118.195,0.76143,156.968,progressive house,1,Simons Folly,0
Saafir,0.61434,0.29768,234.762,0.101,0.594779904,5,0.172,-6.019,1,,227.84,0.13935,188.886,hip hop,4,Crawl Before You Ball (Album Version),1999
The Verve Pipe,0.65257,0.20769,292.8322,3.344,0.70334944,9,0.295,-4.953,1,0.466304831,273.589,0.20769,133.306,post-grunge,4,Medicate Myself,2001
Bob Neuwirth,0.92398,0.92398,241.10975,2.659,0.434272038,4,0.965,-18.114,1,0.480610618,230.429,0.92398,152.267,singer-songwriter,3,Biding Her Time,1990
Marvin Sapp,0.72495,0.36318,270.68036,0.334,0.733714697,1,0.33,-11.061,1,0.26568338,267.906,0.36318,166.275,gospel,4,More And More  (LP Version),0
James Hunter,0.80573,0.29176,188.73424,0,0.625443262,2,0.862,-7.04,1,,178.463,0.29176,114.971,blue-eyed soul,4,Cowboy Ways,0
Nelson Ned,0.63479,0.22404,211.80036,0.175,0.498663649,9,0.519,-15.358,0,,202.443,0.22404,144.651,latin jazz,4,Brasas Vivas,0
Mish Mash,0.07332,0.07332,254.32771,0,0.505644262,2,0.64,-11.213,1,,249.858,0.07332,152.005,vocal house,1,Kolomeyke,0
Cama,0.27702,0.27702,210.36363,0.364,0.406187449,1,0.645,-5.904,0,,201.497,0.08387,155.074,los angeles,1,In This Life,2009
Maxi Priest,0.03212,0.03212,301.81832,2.566,0.661001337,10,0.683,-8.095,0,0.345802234,289.332,0.03212,61.971,lovers rock,1,Groovin In The Midnight,1991
Porcupine Tree,0.34798,0.34798,416.80934,0,0.830252262,6,0.644,-7.982,0,0.82517354,396.533,0.0276,124.04,experimental rock,5,Waiting,1997
Ragheb Alama,0.47649,0.16066,413.36118,0,0.554226467,7,0.056,-8.804,0,0,408.503,0.16066,191.196,arabesque,4,Achek Ouyounik (2009 Digital Remaster),0
Foo Fighters,0.58065,0.16757,117.002,0,0.839275393,7,0.458,-5.699,1,,114.712,0.16757,152.127,grunge,4,Hell,2005
Shakira Featuring Wyclef Jean,0.71063,0.10911,217.36444,0.224,0.833178561,10,0.805,-5.152,0,0.73738531,212.161,0.10911,100.023,dance pop,4,Hips Dont Lie (featuring Wyclef Jean),0
The Avengers,0.21429,0.21429,122.72281,4.418,0.574973901,10,0,-9.965,1,,117.034,0.05795,192.688,rock,4,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0
Robben Ford,0.78649,0.38868,203.98975,0.161,0.604820432,11,0.236,-11.976,0,0.47212112,182.921,0.19413,154.322,blues-rock,4,I Got Over It (Album Version),1988
Brazilian Tropical Orchestra,0.55637,0.2978,192.44363,0.485,0.378013152,5,0.084,-10.229,1,0,178.66,0.2978,236.006,bossa nova,4,One Less Bell To Answer,0
Gil Semedo,0.94607,0.15349,285.36118,0,0.441593442,11,0.321,-6.284,1,0.392008772,274.715,0.15349,150.666,zouk,5,Festa,0
Soda Stereo,0.14825,0.14825,225.12281,0,0.711165787,11,0,-3.818,0,,203.593,0.14825,175.421,rock,1,Te Hacen Falta Vitaminas,1984
Xmilk,0.58192,0.10684,123.66322,0,0.4621406,9,0.138,-4.633,0,,119.705,0.10684,104.153,thrash core,4,Sense And Trick,0
Dolce; Oscar G.,0.64665,0.17678,525.16526,0.148,0.471577282,11,0.386,-5.602,0,,513.724,0.17678,127.278,folk-pop,4,Fire (Oscar G Space Vocal Mix),0
Britt Nicole,0.64194,0.26421,204.06812,0.415,0.669500125,6,0.606,-5.157,1,0.236420182,193.562,0.07628,160.165,ccm,4,Hanging On (Medium Key Performance Track Without Background Vocals),0
Schizoid,1.58691,0.18064,166.00771,0,0.495559652,5,0.441,-1.925,1,,162.366,0.18064,86.091,breakcore,3,Grim Prospects (Version 2 Remix),0
Toni Braxton Featuring Shaggy,0.28332,0.28332,219.01016,0.235,0.737972528,0,0.782,-5.21,1,,203.233,0.0827,149.94,dance pop,4,Christmas In Jamaica,2001
Perrey And Kingsley,0.20197,0.20197,127.9473,0.165,0.530605798,0,0.655,-12.717,1,0.444401715,123.222,0.20197,135.78,easy listening,4,Gossippo Perpetuo,2001
Sven Tasnadi,1.15604,0.29463,570.90567,0.15,0.480047819,7,0.792,-12.28,1,,538.372,0.08551,122.967,tech house,4,2190 Dias Contigo,0
Eddie,0.6938,0.27306,230.00771,0,0.622684167,9,0.858,-9.748,1,,226.708,0.0611,142.024,frevo,4,No Control,0
Enthroned,0.89888,0.48245,240.74404,0,0.593416049,2,0.735,-4.878,0,0.543052864,240.744,0.48245,135.535,black metal,7,The Vitalized Shell,2010
Suzanne Ciani,0.1659,0.1659,192.20853,0.357,0.631946666,2,0.523,-23.988,1,0.608500079,183.229,0.1659,139.189,meditation,3,Mozart,1989
Milan Band,1.8618,0.05108,152.0322,0.479,0.20107756,8,0.656,-9.414,1,,143.871,0.05108,128.598,serialism,5,Ciao Milan,0
Johnny Osbourne,1.07333,0.35811,215.30077,0.588,0.618765786,3,0.445,-9.741,0,0,208.376,0.18068,163.445,roots reggae,4,Lend Me Your Chopper,2004
Dolly Parton,1.14709,0.07152,155.21914,0,0.707335681,7,0,-11.965,0,,147.673,0.07152,114.027,bluegrass,3,Letter To Heaven,1971
Rance Allen Group,0.23374,0.23374,207.12444,0.352,0.488008882,7,0.662,-12.779,1,,192.447,0.23374,111.316,jazz funk,1,Heaven is Where The Heart Is,0
Pearl Jam,2.24039,1.67818,428.56444,4.267,0.81444811,4,0.743,-8.403,0,0.659304669,414.697,1.67818,105.994,grunge,3,Inside Job,2006
Natalie Cole,1.61011,1.61011,185.7824,3.059,0.69044755,8,0.015,-13.251,1,,174.556,1.26705,88.489,vocal jazz,1,Take A Look  (LP Version),0
Mastodon,0.80159,0.29973,654.28853,3.048,0.780461749,7,0.539,-5.884,0,0.626612803,638.462,0.29973,118.433,alternative metal,4,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009
Kiril Valeri,1.1645,0.5406,306.72934,0,0.605874049,11,0,-6.929,1,0.270775999,276.149,0.22825,96.007,flamenco,4,Bulgarian Dream,0
Word,0.33922,0.33922,229.51138,3.233,0.638880206,9,0.457,-4.198,1,,222.285,0.17961,187.807,blues-rock,4,Amalgama,0
DJ Quik,0.23293,0.23293,205.58322,0,0.712098902,7,0.025,-6.998,0,,202.931,0.23293,181.115,gangster rap,4,Born and Raised In Compton,1991
Hank Locklin,0.98812,0.17951,127.05914,0.322,0.635757022,2,0.826,-12.772,1,0.494489518,114.724,0.17951,148.357,honky tonk,4,Were Gonna Go Fishin,0
